Source,Date,URL,Score,   ,Anger,Fear,Joy,Sad,Analy,Confi,Tenta
The New York Times,2020-01-28T06:02:59+0000,https://www.nytimes.com/2020/01/28/opinion/coronavirus-china.html,0, ,0.5,0.5,0.521201,0.532503,0.686717,0.5,0.777029
The New York Times,2020-01-28T22:50:04+0000,https://www.nytimes.com/2020/01/28/opinion/coronavirus-risk.html,0, ,0.5,0.595078,0.520537,0.5,0.634985,0.5,0.5
The New York Times,2020-01-30T10:00:23+0000,https://www.nytimes.com/2020/01/30/opinion/wuhan-coronavirus-epidemic.html,0, ,0.5,0.527126,0.523729,0.536251,0.585625,0.5,0.5
The New York Times,2020-01-30T20:00:07+0000,https://www.nytimes.com/2020/01/30/opinion/sunday/coronavirus-china-epidemic.html,0, ,0.5,0.5,0.51136,0.540891,0.608837,0.5,0.646037
The New York Times,2020-01-29T00:08:22+0000,https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.html,0, ,0.5,0.591594,0.52773,0.554854,0.5,0.5,0.617149
The New York Times,2020-01-30T22:00:12+0000,https://www.nytimes.com/2020/01/30/opinion/coronavirus-jobs.html,0, ,0.5,0.649443,0.576962,0.507277,0.691693,0.5,0.854702
The New York Times,2020-01-30T00:11:40+0000,https://www.nytimes.com/2020/01/29/opinion/coronavirus-china-government.html,0, ,0.5,0.5,0.5,0.531043,0.64045,0.5,0.727178
The New York Times,2020-01-27T06:01:08+0000,https://www.nytimes.com/2020/01/27/opinion/china-wuhan-virus-quarantine.html,0, ,0.5,0.5,0.5,0.544285,0.699966,0.5,0.824848
The New York Times,2020-01-29T21:09:14+0000,https://www.nytimes.com/2020/01/29/opinion/coronavirus-panic.html,0, ,0.5,0.653827,0.5,0.5,0.60363,0.5,0.86103
The New York Times,2020-01-30T22:50:02+0000,https://www.nytimes.com/2020/01/30/opinion/trump-israel-palestine.html,0, ,0.5,0.5,0.513598,0.529789,0.652038,0.5,0.554071
