Source,Date,URL,Score,   ,Anger,Fear,Joy,Sad,Analy,Confi,Tenta
The New York Times,2020-05-04T18:10:15+0000,https://www.nytimes.com/2020/05/04/sports/soccer/coronavirus-german-soccer-bundesliga.html,0, ,0.5,0.5,0.5,0.5,0.688245,0.5,0.565186
The New York Times,2020-05-06T05:11:28+0000,https://www.nytimes.com/2020/05/06/sports/soccer/coronavirus-premier-league-relegation.html,0, ,0.5,0.5,0.5,0.525608,0.628478,0.5,0.697596
The New York Times,2020-05-04T16:35:21+0000,https://www.nytimes.com/2020/05/04/sports/vitaparcours-parcourses-switzerland-coronavirus.html,0, ,0.5,0.5,0.5,0.5,0.5,0.5,0.504644
The New York Times,2020-05-08T23:08:30+0000,https://www.nytimes.com/2020/05/08/sports/basketball/nba-practice-cavaliers-trail-blazers.html,0, ,0.5,0.5,0.615869,0.527661,0.688984,0.5,0.71413
The New York Times,2020-05-09T11:00:08+0000,https://www.nytimes.com/2020/05/09/sports/basketball/breanna-stewart-wnba-return.html,0, ,0.5,0.5,0.552815,0.552079,0.5,0.5,0.800094
The New York Times,2020-05-07T20:18:00+0000,https://www.nytimes.com/2020/05/07/sports/football/nfl-schedule-jets-tickets.html,0, ,0.5,0.5,0.5,0.5,0.583543,0.5,0.5
The New York Times,2020-05-07T17:08:24+0000,https://www.nytimes.com/2020/05/07/sports/tour-de-france-anthony-joshua.html,0, ,0.5,0.5,0.530791,0.56615,0.5,0.5,0.777158
The New York Times,2020-05-08T17:52:02+0000,https://www.nytimes.com/2020/05/08/sports/soccer-south-korea.html,0, ,0.5,0.5,0.563893,0.508253,0.5,0.5,0.5
The New York Times,2020-05-07T19:11:00+0000,https://www.nytimes.com/2020/05/07/sports/golf/golf-course-reopen.html,0, ,0.5,0.5,0.568954,0.5,0.5,0.5,0.583224
The New York Times,2020-05-09T04:00:06+0000,https://www.nytimes.com/2020/05/09/sports/time-ufc-249-streaming-card.html,0, ,0.5,0.5,0.546506,0.544014,0.5,0.5,0.5
The New York Times,2020-05-08T20:23:56+0000,https://www.nytimes.com/2020/05/08/sports/coronavirus-chess-online-tournament.html,0, ,0.529548,0.5,0.573344,0.54887,0.5,0.5,0.5
The New York Times,2020-05-08T09:00:33+0000,https://www.nytimes.com/2020/05/08/sports/olympics/allyson-felix-olympics.html,0, ,0.5,0.5,0.599891,0.597611,0.5,0.5,0.874674
The New York Times,2020-05-07T09:00:23+0000,https://www.nytimes.com/2020/05/07/sports/coronavirus-sports-restarting-golf-nba.html,0, ,0.5,0.5,0.559752,0.5,0.5,0.5,0.707594
The New York Times,2020-05-08T09:10:13+0000,https://www.nytimes.com/2020/05/08/sports/dana-white-ufc.html,0, ,0.5,0.5,0.5,0.517504,0.5,0.5,0.551221
The New York Times,2020-05-09T21:42:18+0000,https://www.nytimes.com/2020/05/09/sports/ufc-249-results.html,0, ,0.5,0.5,0.529537,0.5401,0.5,0.5,0.5
The New York Times,2020-05-08T22:00:08+0000,https://www.nytimes.com/2020/05/08/sports/soccer/premier-league-soccer.html,0, ,0.5,0.5,0.609172,0.5,0.653088,0.5,0.572807
The New York Times,2020-05-05T16:43:02+0000,https://www.nytimes.com/2020/05/05/sports/german-soccer-australian-rugby-restart-virus.html,0, ,0.5,0.5,0.588908,0.509109,0.5,0.5,0.5
The New York Times,2020-05-05T09:00:35+0000,https://www.nytimes.com/2020/05/05/sports/merger-wta-atp.html,0, ,0.5,0.5,0.579569,0.511842,0.600769,0.5,0.5
The New York Times,2020-05-04T18:42:18+0000,https://www.nytimes.com/2020/05/04/sports/espns-live-sport-savior-korean-baseball.html,0, ,0.5,0.5,0.604906,0.503551,0.507581,0.5,0.7107
The New York Times,2020-05-03T20:30:07+0000,https://www.nytimes.com/2020/05/03/sports/athletes-eating-disorders.html,0, ,0.5,0.551157,0.525261,0.582995,0.54214,0.5,0.691725
The New York Times,2020-05-07T11:56:18+0000,https://www.nytimes.com/2020/05/07/sports/germany-soccer-bundesliga-coronavirus.html,0, ,0.5,0.5,0.58026,0.522798,0.596122,0.5,0.572911
The New York Times,2020-05-07T04:00:31+0000,https://www.nytimes.com/2020/05/07/sports/coronavirus-korea-baseball-opening.html,0, ,0.5,0.5,0.550766,0.558298,0.5,0.5,0.5
The New York Times,2020-05-04T07:00:09+0000,https://www.nytimes.com/2020/05/04/sports/basketball/coronavirus-nba-hoop.html,0, ,0.5,0.5,0.569284,0.546275,0.5,0.5,0.719345
The New York Times,2020-05-09T04:30:07+0000,https://www.nytimes.com/2020/05/09/sports/soccer/Andres-Iniesta-barcelona.html,0, ,0.5,0.5,0.563515,0.544156,0.5,0.5,0.685979
The New York Times,2020-05-04T07:00:07+0000,https://www.nytimes.com/2020/05/04/sports/ultramarathon-brooklyn-100-miles.html,0, ,0.5,0.5,0.571022,0.515882,0.5,0.5,0.505651
The New York Times,2020-05-08T00:45:42+0000,https://www.nytimes.com/2020/05/07/sports/football/nfl-schedule.html,0, ,0.5,0.5,0.607281,0.5,0.5,0.5,0.5
The New York Times,2020-05-06T14:00:08+0000,https://www.nytimes.com/2020/05/06/sports/basketball/knicks-championship-anniversary.html,0, ,0.5,0.5,0.568093,0.539877,0.539433,0.5,0.555966
The New York Times,2020-05-08T14:37:12+0000,https://www.nytimes.com/2020/05/08/sports/golf/golf-cbd-billy-horschel.html,0, ,0.5,0.5,0.5,0.571678,0.561433,0.5,0.5
The New York Times,2020-05-08T23:15:42+0000,https://www.nytimes.com/2020/05/08/sports/Ahmaud-Arbery-running.html,0, ,0.5,0.615845,0.54744,0.565918,0.543606,0.5,0.640651
The New York Times,2020-05-05T04:00:06+0000,https://www.nytimes.com/2020/05/05/sports/baseball/coronavirus-baseball-korea-opening.html,0, ,0.5,0.5,0.596097,0.538098,0.5,0.5,0.752525
