Source,Date,URL,Score,   ,Anger,Fear,Joy,Sad,Analy,Confi,Tenta
Guardian,2020-03-01T07:30:08Z,https://www.theguardian.com/commentisfree/2020/mar/01/is-britain-prepared-for-a-possible-coronavirus-pandemic-the-signs-are-not-good,0, ,0.5,0.59124,0.5,0.575041,0.563551,0.5,0.678169
Guardian,2020-03-03T18:26:04Z,https://www.theguardian.com/world/2020/mar/03/four-lessons-the-spanish-flu-can-teach-us-about-coronavirus,0, ,0.5,0.523096,0.5,0.625925,0.525091,0.5,0.800129
Guardian,2020-03-01T08:00:09Z,https://www.theguardian.com/world/2020/mar/01/gunnison-colorado-the-town-that-dodged-the-1918-spanish-flu-pandemic,0, ,0.5,0.5,0.5,0.5,0.5,0.5,0.655569
Guardian,2020-03-04T15:30:44Z,https://www.theguardian.com/world/2020/feb/28/hand-sanitiser-or-hand-washing-which-more-effective-against-coronavirus-covid-19,0, ,0.5,0.576752,0.56196,0.5,0.540041,0.5,0.687742
Guardian,2020-03-06T13:19:02Z,https://www.theguardian.com/commentisfree/2020/mar/06/coronavirus-hype-crisis-predictions-sars-swine-flu-panics,0, ,0.5,0.5,0.524366,0.548963,0.539907,0.5,0.614954
Guardian,2020-03-01T09:30:10Z,https://www.theguardian.com/world/2020/mar/01/the-worst-case-scenario-for-coronavirus-dr-jonathan-quick-q-and-a-laura-spinney,0, ,0.5,0.5,0.5,0.577555,0.634554,0.5,0.5
Guardian,2020-03-07T05:00:00Z,https://www.theguardian.com/world/2020/mar/07/coronavirus-reasons-to-be-reassured,0, ,0.5,0.5,0.5,0.540763,0.812537,0.5,0.706677
Guardian,2020-03-06T18:21:03Z,https://www.theguardian.com/world/2020/mar/06/uk-has-plans-to-deal-with-pandemic-causing-up-to-315000-deaths,0, ,0.5,0.556137,0.5,0.622471,0.721122,0.5,0.5
Guardian,2020-03-02T13:40:58Z,https://www.theguardian.com/world/2020/mar/02/how-to-protect-yourself-coronavirus,0, ,0.5,0.5,0.5,0.5,0.709157,0.5,0.850025
Guardian,2020-03-04T20:59:49Z,https://www.theguardian.com/news/2020/mar/04/corrections-and-clarifications,0, ,0.5,0.5,0.5,0.5,0.5,0.5,0.51835
Guardian,2020-03-01T07:33:08Z,https://www.theguardian.com/world/2020/mar/01/coronavirus-outbreak-the-key-scientific-questions-answered,0, ,0.5,0.5,0.5,0.566151,0.726267,0.5,0.85242
Guardian,2020-03-07T20:30:58Z,https://www.theguardian.com/world/2020/mar/07/gig-economy-workers-on-breadline-too-poor-to-stay-at-home-if-they-catch-coronavirus,0, ,0.5,0.5,0.5,0.568879,0.639502,0.5,0.541334
Guardian,2020-03-03T06:00:04Z,https://www.theguardian.com/world/2020/mar/03/elbow-bumps-and-footshakes-the-new-coronavirus-etiquette,0, ,0.5,0.5,0.603526,0.5,0.554854,0.5,0.5
Guardian,2020-03-03T09:40:35Z,https://www.theguardian.com/world/2020/feb/27/coronavirus-what-is-self-isolation-quarantine,0, ,0.5,0.5,0.5,0.547105,0.711899,0.5,0.881357
Guardian,2020-03-03T17:58:40Z,https://www.theguardian.com/world/2020/mar/03/iran-steps-up-coronavirus-efforts-as-23-mps-said-to-be-infected,0, ,0.5,0.5,0.518608,0.571151,0.5599,0.5,0.5
Guardian,2020-03-03T11:42:06Z,https://www.theguardian.com/world/2020/mar/03/uk-government-coronavirus-plans-strip-fire-and-police-to-essentials-covid-19,0, ,0.5,0.5,0.5,0.63445,0.607868,0.5,0.690206
Guardian,2020-03-02T19:17:50Z,https://www.theguardian.com/sport/2020/mar/02/joe-root-heads-to-sri-lanka-ready-to-celebrate-with-fist-bumps,0, ,0.5,0.5,0.608038,0.545895,0.572774,0.5,0.5
Guardian,2020-03-06T16:48:16Z,https://www.theguardian.com/world/2020/mar/06/coronavirus-charities-rally-to-help-older-people-in-self-isolation,0, ,0.5,0.587733,0.519937,0.560791,0.5,0.5,0.5
